"Period","From","Interval","GL_km2","Lti","St"
"2015-2020","Water",5,28.2672,9.00355463822956,2.43903626102563
"2015-2020","Vegetation",5,218.9844,15.4533445113431,2.43903626102563
"2015-2020","Builtup",5,273.4272,2.24112315820378,2.43903626102563
"2015-2020","Agriculture",5,1025.7912,1.59522566540749,2.43903626102563
"2015-2020","Barren",5,492.1488,9.20307514170695,2.43903626102563
"2010-2015","Water",5,43.6896,12.9762095696338,2.42266498230429
"2010-2015","Vegetation",5,88.8156,10.0949302344613,2.42266498230429
"2010-2015","Builtup",5,135.6912,1.57071597344635,2.42266498230429
"2010-2015","Agriculture",5,1022.184,1.52210575295292,2.42266498230429
"2010-2015","Barren",5,734.5548,11.1774679057894,2.42266498230429
"2005-2010","Water",5,42.8472,12.2846673891727,2.04500141918872
"2005-2010","Vegetation",5,189.7092,12.9392410347071,2.04500141918872
"2005-2010","Builtup",5,225.4464,2.8948901195418,2.04500141918872
"2005-2010","Agriculture",5,671.2776,0.994849050146067,2.04500141918872
"2005-2010","Barren",5,579.9924,8.91614806287996,2.04500141918872
"2000-2005","Water",5,33.426,10.4413831880798,2.20675016980733
"2000-2005","Vegetation",5,177.732,11.6350867269985,2.20675016980733
"2000-2005","Builtup",5,209.1672,3.05390936876657,2.20675016980733
"2000-2005","Agriculture",5,542.1996,0.820022998168423,2.20675016980733
"2000-2005","Barren",5,881.9424,10.0608619231054,2.20675016980733
"1995-2000","Water",5,49.3164,13.7900140930139,3.68303808895794
"1995-2000","Vegetation",5,225.756,12.267334383161,3.68303808895794
"1995-2000","Builtup",5,104.7564,2.52068156027754,3.68303808895794
"1995-2000","Agriculture",5,1135.8432,1.7585524124833,3.68303808895794
"1995-2000","Barren",5,1562.7204,12.3637912030009,3.68303808895794
"1990-1995","Water",5,13.3632,4.72264631043257,2.29517488755244
"1990-1995","Vegetation",5,95.9616,5.17758116678159,2.29517488755244
"1990-1995","Builtup",5,133.2612,3.41887367521762,2.29517488755244
"1990-1995","Agriculture",5,961.9776,1.46558776175862,2.29517488755244
"1990-1995","Barren",5,713.8116,5.99281579014974,2.29517488755244
