No.,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
1,North Delhi,Delhi,0.27,0.32,0.32,0.27,0.26,0.27,0.30,0.35,0.35,0.28,0.25,0.25,,
2,New Delhi,Delhi,0.32,0.34,0.36,0.37,0.36,0.36,0.40,0.44,0.47,0.41,0.38,0.35,,0.29
3,North West Delhi,Delhi,0.39,0.45,0.38,0.23,0.21,0.26,0.35,0.42,0.40,0.31,0.27,0.33,,
4,North East Delhi,Delhi,0.19,0.23,0.23,0.20,0.19,0.20,0.24,0.27,0.27,0.21,0.19,0.18,,
5,South West Delhi,Delhi,0.39,0.41,0.35,0.25,0.23,0.27,0.36,0.41,0.40,0.33,0.34,0.37,,
6,East Delhi,Delhi,0.18,0.22,0.23,0.23,0.22,0.22,0.25,0.28,0.29,0.24,0.21,0.20,,
7,South Delhi,Delhi,0.28,0.29,0.32,0.30,0.28,0.31,0.41,0.46,0.46,0.39,0.34,0.32,,
8,Central Delhi,Delhi,0.19,0.23,0.26,0.26,0.25,0.25,0.28,0.31,0.33,0.27,0.25,0.22,,
9,West Delhi,Delhi,0.23,0.26,0.25,0.22,0.22,0.23,0.26,0.31,0.31,0.25,0.24,0.24,,
10,Faridabad,Haryana,0.48,0.54,0.43,0.23,0.22,0.29,0.41,0.52,0.49,0.35,0.27,0.35,,
11,Gurgaon,Haryana,0.51,0.53,0.40,0.23,0.21,0.27,0.42,0.48,0.40,0.30,0.29,0.43,,
12,Jhajjar,Haryana,0.56,0.63,0.46,0.21,0.18,0.24,0.38,0.49,0.43,0.31,0.28,0.42,,0.40
13,Rohtak,Haryana,0.52,0.64,0.52,0.23,0.19,0.26,0.40,0.54,0.51,0.39,0.29,0.38,,
14,Sonipat,Haryana,0.58,0.68,0.55,0.23,0.20,0.26,0.42,0.59,0.56,0.41,0.28,0.42,,
15,Baghpat,Uttar Pradesh,0.44,0.56,0.53,0.32,0.32,0.46,0.58,0.62,0.60,0.51,0.45,0.41,,
16,GB Nagar,Uttar Pradesh,0.47,0.57,0.47,0.23,0.21,0.29,0.40,0.53,0.50,0.36,0.26,0.33,,0.45
17,Ghaziabad,Uttar Pradesh,0.46,0.56,0.50,0.29,0.31,0.43,0.53,0.58,0.56,0.45,0.39,0.39,,
18,Meerut,Uttar Pradesh,0.46,0.56,0.50,0.33,0.37,0.50,0.59,0.61,0.59,0.51,0.45,0.44,,
