S.No,state_cd,code,city,city_name,population,Latitude,Longitude
1,27,802794,Greater Mumbai (M Corp.),Mumbai,12442373,18.987807,72.836447
2,7,800441,DMC (U) (M Corp.),Delhi,11034555,28.651952,77.231495
3,29,803162,BBMP (M. Corp.+OG),Bangalore,8495492,12.977063,77.587106
4,28,802918,GHMC (M Corp.+OG),Hyderabad,6993262,17.384052,78.456355
5,24,802484,Ahmadabad (M Corp.+OG),Ahmadabad,5633927,23.025793,72.587265
6,33,803339,Chennai (M Corp.),Chennai,4646732,13.084622,80.248357
7,24,802629,Surat (M Corp.+OG),Surat,4501610,21.195944,72.830232
8,19,801742,Kolkata (M Corp.),Kolkata,4496694,22.562627,88.363044
9,27,802814,Pune (M Corp.),Pune,3124458,18.513271,73.849852
10,8,800522,Jaipur (M Corp.),Jaipur,3046163,26.913312,75.787872
11,9,800951,Lucknow (M Corp.),Lucknow,2817105,26.839281,80.923133
12,9,801005,Kanpur (M Corp.+OG),Kanpur,2768057,26.4499,80.3319
13,27,802710,Nagpur (M Corp.),Nagpur,2405665,21.1458,79.0882
14,23,802273,Indore (M Corp.+OG),Indore,1994397,22.717736,75.85859
15,27,802787,Thane (M Corp.),Thane,1841488,19.2183,72.9781
16,23,802312,Bhopal (M Corp.),Bhopal,1798218,23.254688,77.402892
17,24,802596,Vadodara (M Corp.+OG),Vadodra,1752371,22.299405,73.208119
18,28,802947,GVMC,Visakhapatnam,1728128,17.704052,83.297663
19,27,802811,Pimpri Chinchwad (M Corp.),Pimpri Chinchwad,1727692,18.6298,73.7997
20,10,801373,Patna (M Corp.+OG),Patna,1684297,25.615379,85.101027
21,9,800734,Ghaziabad (M Corp.),Ghaziabad,1648643,28.665353,77.439148
22,3,800196,Ludhiana (M Corp.),Ludhiana,1618879,30.912042,75.853789
23,9,800804,Agra (M Corp.),Agra,1585704,27.187935,78.003944
24,27,802776,Nashik (M Corp.),Nashik,1486053,19.999963,73.776887
25,6,800436,Faridabad (M Corp.),Faridabad,1414050,28.411236,77.313162
26,24,802501,Rajkot (M Corp.+OG),Rajkot,1323363,22.291606,70.793217
27,9,800716,Meerut (M Corp.),Meerut,1305429,28.980018,77.706356
28,27,802790,Kalyan Dombivali (M Corp.),Kalyan,1247327,19.243703,73.135537
29,27,802785,Vasai-Virar City (M Corp.),Vasai-Virar,1222390,19.3919,72.8397
30,1,800013,Srinagar (M Corp.+OG),Srinagar,1206419,34.085652,74.805553
31,9,801235,Varanasi (M Corp.),Varanasi,1198491,25.31774,83.005811
32,27,802765,Aurangabad (M Corp.),Aurangabad,1175116,19.880943,75.346739
33,9,801086,Allahabad (M Corp.+OG),Allahabad,1168385,25.44478,81.843217
34,20,801775,Dhanbad (M Corp.),Dhanbad,1162472,23.801988,86.443244
35,3,800252,Amritsar (M Corp.+OG),Amritsar,1159227,31.622337,74.875335
36,28,802969,Vijayawada (M Corp.+OG),Vijayawada,1143232,16.5062,80.648
37,27,802788,Navi Mumbai (M Corp.),Navi Mumbai,1120547,19.033,73.0297
38,23,802361,Jabalpur (M Corp.+OG),Jabalpur,1081677,23.174495,79.935903
39,19,801740,Haora (M Corp.),Howrah,1077075,22.576882,88.318566
40,20,801794,Ranchi (M Corp.),Ranchi,1073427,23.347768,85.338564
41,8,800544,Jodhpur (M Corp.+OG),Jodhpur,1056191,26.26841,73.005943
42,23,802100,Gwalior (M Corp.),Gwalior,1054420,26.229825,78.173369
43,33,803984,Coimbatore (M Corp.),Coimbatore,1050721,11.005547,76.966122
44,22,802034,Raipur (M Corp.+OG),Raipur,1027264,21.233333,81.633333
45,33,803754,Madurai (M Corp.),Madurai,1017865,9.917347,78.119622
46,8,800609,Kota (M Corp.),Kota,1001694,25.182544,75.839065
