district,state,2020,2025,2030,2035,2040
Baghpat,Uttar Pradesh,74.7,90.8,101.0,136.9,202.2
Central Delhi,Delhi,12.2,12.1,12.3,12.6,12.6
East Delhi,Delhi,56.7,58.9,59.3,60.7,60.9
Faridabad,Haryana,187.5,173.3,183.6,220.2,271.3
Gautam Buddha Nagar,Uttar Pradesh,368.5,432.8,472.8,506.0,573.4
Ghaziabad,Uttar Pradesh,250.4,350.3,381.2,448.6,555.7
Gurgaon,Haryana,327.1,306.6,350.7,412.5,544.5
Jhajjar,Haryana,230.8,219.0,258.8,339.0,507.6
Meerut,Uttar Pradesh,197.0,206.8,224.5,260.9,341.8
New Delhi,Delhi,30.3,29.9,30.8,32.2,32.2
North Delhi,Delhi,45.2,47.9,48.8,50.4,51.1
North East Delhi,Delhi,50.0,52.3,52.6,53.0,53.4
North West Delhi,Delhi,216.9,269.1,281.0,311.5,339.7
Rohtak,Haryana,210.5,150.1,159.8,171.8,215.3
Sonipat,Haryana,204.0,172.4,188.9,247.5,347.6
South Delhi,Delhi,144.9,148.9,159.9,164.4,164.7
South West Delhi,Delhi,219.0,278.6,302.7,340.6,367.8
West Delhi,Delhi,105.2,115.2,117.1,117.3,118.7
