No.,District,State,January,February,March,April,May,June,July,August,September,October,November,December
1,North Delhi,Delhi,19.99,22.42,20.02,10.59,28.18,87.25,191.33,229.99,146.88,15.73,4.16,7.78
2,New Delhi,Delhi,17.74,23.22,17.61,11.68,36.71,89.67,194.45,226.45,141.80,11.61,4.32,8.41
3,North West Delhi,Delhi,19.89,21.87,21.46,7.96,24.96,82.16,153.08,210.74,139.44,16.57,4.09,6.97
4,North East Delhi,Delhi,20.79,22.20,20.27,10.92,27.38,84.32,205.38,233.08,153.74,16.40,3.96,7.82
5,South West Delhi,Delhi,15.67,19.21,14.95,5.47,33.02,72.57,158.29,207.64,142.40,13.03,3.51,7.97
6,East Delhi,Delhi,19.59,22.64,18.82,10.97,31.94,83.60,208.57,235.41,152.12,14.69,3.94,8.28
7,South Delhi,Delhi,16.65,21.53,15.89,8.73,36.64,85.18,195.13,224.76,144.51,13.17,3.81,8.55
8,Central Delhi,Delhi,18.60,22.56,18.24,11.05,34.05,87.10,197.46,228.37,145.81,12.96,4.18,8.15
9,West Delhi,Delhi,17.30,20.51,18.09,7.56,31.48,82.09,163.79,210.38,145.11,12.82,3.98,7.41
10,Faridabad,Haryana,19.53,21.30,17.29,7.61,34.20,63.62,194.90,224.31,147.19,19.20,3.07,6.55
11,Gurgaon,Haryana,17.22,20.56,13.89,5.58,25.61,58.55,162.39,193.64,138.53,16.07,2.62,6.37
12,Jhajjar,Haryana,16.64,22.80,16.42,5.05,27.95,58.75,135.40,170.64,128.12,14.38,3.17,6.29
13,Rohtak,Haryana,17.76,20.22,19.12,8.35,19.21,41.84,126.50,155.31,112.65,14.20,3.68,4.96
14,Sonipat,Haryana,23.53,25.44,25.01,10.13,18.85,59.78,133.63,195.42,135.96,20.19,4.53,5.71
15,Baghpat,Uttar Pradesh,25.68,26.70,24.71,10.60,17.07,90.13,193.90,229.47,158.92,22.39,3.81,6.76
16,Gautam Buddha Nagar,Uttar Pradesh,22.54,23.59,18.64,7.48,22.04,61.93,212.71,218.59,155.80,21.16,2.76,6.80
17,Ghaziabad,Uttar Pradesh,23.48,23.69,23.17,9.10,16.71,100.80,245.93,243.32,159.37,24.59,3.04,9.34
18,Meerut,Uttar Pradesh,25.38,27.67,25.03,12.19,20.50,99.32,263.45,265.53,165.82,25.29,3.20,10.82
