,District,State,January,February,March,April,May,June,July,August,September,October,November,December
1,North Delhi,Delhi,20.34,25.03,31.36,37.41,38.89,36.56,32.13,30.85,32.69,33.04,27.88,22.47
2,New Delhi,Delhi,20.32,25.20,31.60,37.04,38.12,36.13,32.30,31.21,32.65,32.48,27.34,22.09
3,North West Delhi,Delhi,20.11,24.50,30.91,38.84,40.83,38.73,34.36,32.15,33.25,33.98,28.91,23.07
4,North East Delhi,Delhi,21.01,26.02,32.72,38.99,40.30,37.85,33.45,32.29,34.05,34.20,28.59,22.98
5,South West Delhi,Delhi,20.43,25.22,32.41,39.96,41.57,39.29,34.79,32.88,34.28,34.97,28.99,22.82
6,East Delhi,Delhi,20.94,26.22,32.99,38.72,39.91,37.54,33.16,32.24,34.10,33.94,28.26,22.68
7,South Delhi,Delhi,20.96,25.97,32.24,38.15,39.47,36.86,31.93,30.37,32.17,32.76,27.82,22.49
8,Central Delhi,Delhi,20.91,26.06,32.76,38.22,39.25,37.08,33.11,32.26,33.92,33.72,28.16,22.66
9,West Delhi,Delhi,21.17,26.37,33.18,39.35,40.51,38.40,34.58,33.27,34.61,34.56,28.88,23.11
10,Faridabad,Haryana,20.02,23.85,30.06,39.44,41.51,38.50,33.31,30.67,31.91,33.55,29.34,23.53
11,Gurgaon,Haryana,20.06,24.51,32.02,41.60,43.31,40.91,35.99,33.26,34.63,36.33,30.68,23.30
12,Jhajjar,Haryana,19.13,22.79,30.18,41.10,43.89,41.62,36.57,32.85,33.82,35.80,30.69,23.55
13,Rohtak,Haryana,19.08,22.36,28.39,38.67,42.53,40.00,35.20,31.41,31.94,33.32,29.26,23.31
14,Sonipat,Haryana,18.38,21.61,27.41,37.80,41.38,39.11,34.04,30.25,30.58,31.93,29.03,22.74
15,Baghpat,Uttar Pradesh,19.73,22.80,28.00,35.40,38.14,35.13,30.43,28.85,30.24,31.15,26.93,22.25
16,Gautam Buddha Nagar,Uttar Pradesh,19.74,23.11,29.08,38.74,41.42,38.54,33.36,30.51,31.32,32.89,28.94,23.51
17,Ghaziabad,Uttar Pradesh,19.68,23.04,28.68,36.68,38.86,35.66,30.63,29.17,30.69,32.01,27.75,22.72
18,Meerut,Uttar Pradesh,19.52,23.06,28.74,35.93,37.83,34.47,29.52,28.48,29.95,31.00,26.86,22.02
