,district,state,January,February,March,April,May,June,July,August,September,October,November,December
1,North Delhi,Delhi,9.23,12.50,16.76,21.03,23.14,24.01,22.24,22.06,23.81,21.11,15.44,10.74
2,New Delhi,Delhi,8.88,12.41,16.93,21.59,23.47,24.30,22.55,21.96,23.34,20.49,15.07,10.39
3,North West Delhi,Delhi,7.02,10.12,14.16,18.60,21.30,23.07,21.95,21.45,22.56,18.93,12.94,8.31
4,North East Delhi,Delhi,9.20,12.53,16.77,21.13,23.22,24.00,22.21,22.02,23.88,21.30,15.55,10.79
5,South West Delhi,Delhi,6.87,10.22,14.46,19.01,21.58,23.35,22.28,21.65,22.58,18.87,13.00,8.31
6,East Delhi,Delhi,9.77,13.28,17.69,22.08,23.86,24.45,22.60,22.28,24.14,21.80,16.23,11.44
7,South Delhi,Delhi,8.22,11.72,16.16,20.78,22.96,24.01,22.35,21.79,22.90,19.86,14.41,9.68
8,Central Delhi,Delhi,10.15,13.60,18.18,22.84,24.49,24.89,22.78,22.34,24.21,22.07,16.68,11.90
9,West Delhi,Delhi,8.70,12.04,16.49,21.09,23.11,24.20,22.67,22.21,23.73,20.90,15.07,10.23
11,Faridabad,Haryana,7.15,10.07,13.93,18.32,20.90,22.70,21.91,21.48,22.11,18.47,12.85,8.35
14,Gurgaon,Haryana,6.02,9.11,13.11,17.44,20.34,22.58,21.78,21.12,21.70,17.58,11.73,7.38
15,Jhajjar,Haryana,5.60,8.51,12.27,16.41,19.56,22.24,21.95,21.28,21.88,17.20,11.03,6.70
17,Rohtak,Haryana,5.82,8.66,12.27,16.36,19.38,22.03,22.04,21.46,22.06,17.54,11.32,6.75
18,Sonipat,Haryana,6.00,8.61,12.19,16.21,19.31,21.88,21.70,21.16,21.81,17.56,11.28,7.02
10,Baghpat,Uttar Pradesh,5.56,8.72,12.18,16.01,19.20,21.31,20.68,20.11,20.97,17.00,11.15,6.34
12,Gautam Buddha Nagar,Uttar Pradesh,6.65,9.63,13.31,17.58,20.33,22.25,21.64,21.36,22.00,18.16,12.27,7.66
13,Ghaziabad,Uttar Pradesh,6.22,9.38,12.85,16.88,19.88,21.64,20.89,20.55,21.34,17.64,11.89,7.25
16,Meerut,Uttar Pradesh,5.85,8.99,12.44,16.33,19.50,21.28,20.38,19.83,20.91,17.27,11.40,6.84
